ErrorCode,Title,Message,Resolution,ContactSupportLink,IsClientFacing,IsInternalFacing
SYS500,Unexpected server error,Unhandled exception,Retry or contact support,,true,true
CONF001,Configuration missing,A required configuration is missing,Admin: add config,,false,true
ENV001,Environment mismatch,Feature not enabled in this environment,Enable feature flag,,false,true
DB001,Database unavailable,DB connection failed,Check DB health,,true,true
CACHE001,Cache unavailable,Cache server unreachable,Fail over to DB or retry,,false,true
QUEUE001,Queue publish failed,Message broker unavailable,Retry with backoff,,false,true
RATE001,Rate limited,Too many requests,Wait and retry with backoff,,true,false
COMP001,Policy compliance required,Compliance check failed,Provide justification or adjust request,,true,false
GEO001,Country unsupported,Destination not supported by policy,Pick a supported destination,,true,false
PROF001,Profile incomplete,Required traveler profile fields missing,Complete profile in settings,,true,false
